month,noCDI,rep_1stcomp_any_mo,rep_1stcompN_mo,obs3w,rep3w,obsp,repp,obst,rept,vocab_type,wordcount,obs3w_label,rep3w_label,obsp_label,repp_label,subj
18,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,332,NA,NA,NA,NA,860
6,FALSE,8,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,0,"44c, 0w","44c, 0w","44np, 0p","40np, 4p",378
7,FALSE,8,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,0,"44c, 0w","44c, 0w","44np, 0p","35np, 9p",378
8,FALSE,8,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,6,"44c, 0w","43c, 1w","39np, 5p","33np, 11p",378
9,FALSE,8,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,12,"44c, 0w","40c, 4w","38np, 6p","26np, 18p",378
10,FALSE,8,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDIcomp,15,"41c, 3w","37c, 7w","29np, 15p","21np, 23p",378
11,FALSE,8,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDIcomp,48,"36c, 8w","24c, 20w","25np, 19p","12np, 32p",378
12,FALSE,8,8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CDIcomp,86,"19c, 25w","15c, 29w","11np, 33p","6np, 38p",378
13,FALSE,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,128,"14c, 30w","8c, 36w","10np, 34p","3np, 41p",378
14,FALSE,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,170,"7c, 37w","4c, 40w","5np, 39p","1np, 43p",378
15,FALSE,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,190,"5c, 39w","3c, 41w","5np, 39p","1np, 43p",378
16,FALSE,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,226,"4c, 40w","0c, 44w","0np, 44p","0np, 44p",378
17,FALSE,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,270,"0c, 44w","0c, 44w","0np, 44p","0np, 44p",378
18,FALSE,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,307,NA,NA,NA,NA,378
6,FALSE,6,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,1,"44c, 0w","44c, 0w","44np, 0p","40np, 4p",294
7,FALSE,6,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,4,"44c, 0w","44c, 0w","44np, 0p","35np, 9p",294
8,FALSE,6,8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,CDIcomp,14,"44c, 0w","43c, 1w","39np, 5p","33np, 11p",294
9,FALSE,6,8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,CDIcomp,23,"44c, 0w","40c, 4w","38np, 6p","26np, 18p",294
10,FALSE,6,8,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,CDIcomp,46,"41c, 3w","37c, 7w","29np, 15p","21np, 23p",294
11,FALSE,6,8,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,CDIcomp,77,"36c, 8w","24c, 20w","25np, 19p","12np, 32p",294
12,FALSE,6,8,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CDIcomp,128,"19c, 25w","15c, 29w","11np, 33p","6np, 38p",294
13,FALSE,6,8,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,167,"14c, 30w","8c, 36w","10np, 34p","3np, 41p",294
14,FALSE,6,8,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,216,"7c, 37w","4c, 40w","5np, 39p","1np, 43p",294
15,FALSE,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,261,"5c, 39w","3c, 41w","5np, 39p","1np, 43p",294
16,FALSE,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,292,"4c, 40w","0c, 44w","0np, 44p","0np, 44p",294
17,FALSE,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,315,"0c, 44w","0c, 44w","0np, 44p","0np, 44p",294
18,FALSE,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,347,NA,NA,NA,NA,294
6,FALSE,8,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,0,"44c, 0w","44c, 0w","44np, 0p","40np, 4p",109
7,FALSE,8,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,0,"44c, 0w","44c, 0w","44np, 0p","35np, 9p",109
8,FALSE,8,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,1,"44c, 0w","43c, 1w","39np, 5p","33np, 11p",109
9,FALSE,8,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,10,"44c, 0w","40c, 4w","38np, 6p","26np, 18p",109
10,FALSE,8,9,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,CDIcomp,12,"41c, 3w","37c, 7w","29np, 15p","21np, 23p",109
11,FALSE,8,9,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,30,"36c, 8w","24c, 20w","25np, 19p","12np, 32p",109
12,FALSE,8,9,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,105,"19c, 25w","15c, 29w","11np, 33p","6np, 38p",109
13,FALSE,8,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,140,"14c, 30w","8c, 36w","10np, 34p","3np, 41p",109
14,FALSE,8,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,185,"7c, 37w","4c, 40w","5np, 39p","1np, 43p",109
15,FALSE,8,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,197,"5c, 39w","3c, 41w","5np, 39p","1np, 43p",109
16,FALSE,8,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,245,"4c, 40w","0c, 44w","0np, 44p","0np, 44p",109
17,FALSE,8,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,262,"0c, 44w","0c, 44w","0np, 44p","0np, 44p",109
18,FALSE,8,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,274,NA,NA,NA,NA,109
6,FALSE,7,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,11,"44c, 0w","44c, 0w","44np, 0p","40np, 4p",342
7,FALSE,7,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CDIcomp,16,"44c, 0w","44c, 0w","44np, 0p","35np, 9p",342
8,FALSE,7,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CDIcomp,30,"44c, 0w","43c, 1w","39np, 5p","33np, 11p",342
9,FALSE,7,7,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,CDIcomp,54,"44c, 0w","40c, 4w","38np, 6p","26np, 18p",342
10,FALSE,7,7,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,CDIcomp,87,"41c, 3w","37c, 7w","29np, 15p","21np, 23p",342
